symbol,timeframe,strategy,params,total_return,win_rate,sharpe_ratio,profit_factor,num_trades,robust,oos_profitable_windows,total_windows
US100Cash,M15,VolatilityExpansion,"ema=50,mult=2.5",-0.02037206997511065,0.5036537380550872,-0.09292101912897324,0.9677065403221614,1786,True,4,5
US30Cash,H1,TrendFollowing,"fast=21,slow=55",0.006796226465514477,0.49758842443729906,0.009413817653383632,1.0022353577383671,4999,True,4,5
US30Cash,H1,TrendFollowing,"fast=34,slow=89",0.06503970752606658,0.4971864951768489,0.09009142121513541,1.0215992019226254,4999,True,4,5
US30Cash,H1,VolatilityExpansion,"ema=20,mult=2.0",0.04556578708675729,0.48394004282655245,0.11736192040501461,1.0632799673046867,935,True,5,5
US30Cash,H1,VolatilityExpansion,"ema=20,mult=2.5",0.018923574761642303,0.4981751824817518,0.05860809216287029,1.0418814876252724,548,True,4,5
US30Cash,H1,VolatilityExpansion,"ema=20,mult=3.0",-0.039958192068146214,0.5087719298245614,-0.2009248298761112,0.8502977409090461,284,True,4,5
US30Cash,H4,MeanReversion,"window=100,z=1.5",0.09684711074689001,0.5011682242990654,0.130293886618926,1.0531783083305568,1715,True,4,5
US30Cash,H4,MeanReversion,"window=100,z=1.75",0.059782131451703746,0.5004389815627743,0.10895433422277481,1.049489591398324,1141,True,4,5
US30Cash,H4,MeanReversion,"window=100,z=2.0",0.046095931040016525,0.5,0.09917591996272683,1.0574742952249438,749,True,4,5
US30Cash,H4,MeanReversion,"window=100,z=2.25",-0.03156502947672524,0.4781659388646288,-0.08238295730276961,0.9413634564258256,457,True,4,5
US30Cash,H4,TrendFollowing,"fast=5,slow=20",0.22287638416564137,0.5120192307692307,0.19128560579492368,1.0416235835397287,4999,True,4,5
