strategy,timeframe,sharpe,return,trades,win_rate,max_dd,p_value,validated,error
Day of Week Effect,H4,2.389809156370185,21.39770809435853,80,42.5,8.282299097975173,0.09235739813327316,False,
Day of Week Effect,D1,19.59182431027284,25.663473956026284,15,86.66666666666667,1.5904326471938839,0.00019935318582526751,False,
K-Nearest Neighbors,M15,0.0,0.0,0,0.0,0.0,1.0,False,
K-Nearest Neighbors,H1,0.0,0.0,0,0.0,0.0,1.0,False,
K-Nearest Neighbors,H4,0.0,0.0,0,0.0,0.0,1.0,False,
K-Nearest Neighbors,D1,0.0,0.0,0,0.0,0.0,1.0,False,
Random Forest,M15,0.0,0.0,0,0.0,0.0,1.0,False,
Random Forest,H1,0.0,0.0,0,0.0,0.0,1.0,False,
Random Forest,H4,0.0,0.0,0,0.0,0.0,1.0,False,
Random Forest,D1,0.0,0.0,0,0.0,0.0,1.0,False,
Statistical Momentum,M15,-0.32236102127943445,-60.80058362727332,3254,35.86355255070682,78.56936536053988,0.12343333211660913,False,
Statistical Momentum,H1,0.4368251238461481,45.76092913976581,825,38.06060606060606,43.48255928447078,0.21490733015620533,False,
Statistical Momentum,H4,1.6901286349305042,36.41030159683596,213,38.967136150234744,22.018150431093456,0.06129265459329274,False,
Statistical Momentum,D1,-1.0562256740313813,-3.324533448808252,36,36.11111111111111,6.749583542805904,0.3481202730279647,False,
Triple TF Alignment,M15,0.7052978898444662,699.9978236405436,1516,48.61477572559367,335.1756615668609,0.04197660453405879,False,
Triple TF Alignment,H1,2.2873736352630987,461.4492569185299,476,52.52100840336135,38.63857004358455,0.000896215367751775,False,
Triple TF Alignment,H4,2.9644100684272843,107.77482665971394,159,55.34591194968554,24.232751185512843,0.01007523637452587,True,
Triple TF Alignment,D1,9.487057806633745,43.77602458951762,31,64.51612903225806,5.561704396635541,0.0013393783277709475,True,
Z-Score Mean Reversion,M15,-0.25495539725333594,-69.25338459100985,2790,37.02508960573477,127.10311714586105,0.19820516775838953,False,
Z-Score Mean Reversion,H1,-0.14768998473515715,-8.945544322782807,729,37.4485596707819,34.29657628968337,0.40093292154731486,False,
